AccountID,ClientID,AccountType,Balance,OpenDate
1,6771,Savings,396330.29,2021-06-09
2,228,Brokerage,498426.38,2024-06-23
3,4361,Brokerage,337697.17,2024-01-15
4,4402,Retirement,413556.76,2025-03-13
5,993,Retirement,270915.43,2021-05-25
6,1171,Retirement,229599.32,2025-01-05
7,317,Brokerage,402142.83,2023-10-26
8,1318,Retirement,461544.71,2025-03-27
9,7302,Brokerage,443526.99,2021-10-02
10,177,Brokerage,142058.68,2021-05-30
11,3249,Brokerage,88298.57,2021-10-14
12,7518,Brokerage,123171.62,2021-08-15
13,4582,Retirement,286673.9,2022-06-19
14,1854,Retirement,75754.39,2020-12-31
15,4566,Retirement,213781.78,2024-10-04
16,3960,Savings,-2308.67,2023-04-08
17,3643,Savings,11418.21,2022-07-30
18,6516,Retirement,126355.33,2022-10-21
19,2561,Retirement,305970.03,2024-05-04
20,9012,Retirement,49906.48,2024-08-01
21,9890,Brokerage,367770.85,2025-06-29
22,3685,Brokerage,228318.75,2021-02-21
23,2589,Retirement,85992.09,2024-07-11
24,1426,Brokerage,446877.88,2021-10-12
25,1932,Retirement,107215.38,2021-05-04
26,783,Retirement,487344.81,2025-01-24
27,9228,Retirement,25047.34,2024-11-18
28,7053,Savings,206989.56,2024-12-23
29,6474,Savings,162219.48,2025-06-30
30,2813,Retirement,430821.38,2022-10-13
31,9060,Savings,148379.81,2025-05-21
32,3366,Savings,242072.25,2023-03-23
33,9608,Retirement,6814.44,2025-03-24
34,10,Savings,428877.05,2023-01-22
35,7125,Retirement,407112.59,2020-10-19
36,6860,Savings,245056.66,2024-06-15
37,5954,Retirement,422476.2,2025-04-01
38,356,Brokerage,17520.4,2025-07-04
39,168,Savings,356008.55,2023-01-15
40,1693,Savings,479714.42,2023-09-23
41,2815,Savings,18461.02,2025-05-27
42,3051,Brokerage,451579.77,2022-04-01
43,4904,Brokerage,307946.74,2022-06-17
44,4580,Retirement,268818.02,2021-04-30
45,567,Savings,108711.13,2022-09-14
46,2571,Retirement,478344.8,2020-09-29
47,4052,Brokerage,82523.14,2020-08-08
48,2749,Brokerage,175548.05,2022-08-03
49,668,Brokerage,403841.69,2022-10-22
50,5430,Retirement,426021.04,2021-02-19
51,973,Brokerage,307186.85,2022-09-21
52,3707,Retirement,138258.35,2020-08-15
53,548,Brokerage,426934.68,2023-05-01
54,9518,Savings,405645.49,2023-05-27
55,9180,Retirement,346047.01,2025-05-25
56,3411,Savings,92788.73,2023-07-17
57,4024,Brokerage,436949.25,2021-01-17
