CommunicationID,ClientID,DateSent,Channel,CampaignName
1,5715,2024-11-10,Mail,Welcome Campaign
2,2530,2023-10-12,Email,Promotional Offer
3,2465,2023-07-30,Mail,Welcome Campaign
4,777,2023-10-18,Email,Quarterly Newsletter
5,4649,2024-04-14,Email,Reactivation Campaign
6,8127,2023-09-29,Email,Welcome Campaign
7,3055,2024-05-05,Mail,Quarterly Newsletter
8,2978,2024-09-15,Phone,Quarterly Newsletter
9,490,2024-03-17,Phone,Welcome Campaign
10,5347,2025-03-30,Email,Welcome Campaign
11,7470,2024-10-23,Mail,Reactivation Campaign
12,7617,2024-11-28,Phone,Reactivation Campaign
13,1050,2023-10-16,Email,Reactivation Campaign
14,1258,2024-02-17,Email,Welcome Campaign
15,5290,2025-04-01,Mail,Promotional Offer
16,3474,2023-09-28,Phone,Welcome Campaign
17,9123,2024-06-14,Email,Reactivation Campaign
18,5543,2024-01-17,Phone,Promotional Offer
19,8927,2023-12-22,Email,Promotional Offer
20,1248,2024-08-01,Mail,Quarterly Newsletter
21,4791,2024-10-26,Mail,Promotional Offer
22,9790,2024-09-07,Mail,Reactivation Campaign
23,9100,2024-08-27,Mail,Promotional Offer
24,7378,2023-08-16,Email,Promotional Offer
25,4737,2024-04-08,Mail,Quarterly Newsletter
26,739,2023-10-04,Mail,Promotional Offer
27,630,2024-11-13,Email,Promotional Offer
28,7298,2024-03-05,Phone,Welcome Campaign
29,2809,2025-07-28,Mail,Promotional Offer
30,6281,2023-09-22,Mail,Promotional Offer
31,2353,2024-09-24,Phone,Reactivation Campaign
32,7389,2025-04-08,Email,Promotional Offer
33,9994,2024-12-01,Mail,Welcome Campaign
34,9711,2023-11-18,Mail,Quarterly Newsletter
35,4751,2024-01-06,Phone,Welcome Campaign
36,7642,2025-04-23,Mail,Promotional Offer
37,7107,2023-08-30,Email,Reactivation Campaign
38,363,2024-10-28,Mail,Quarterly Newsletter
39,3170,2024-02-08,Phone,Welcome Campaign
40,741,2024-12-11,Mail,Quarterly Newsletter
41,2356,2023-12-17,Phone,Welcome Campaign
42,4544,2024-09-20,Email,Promotional Offer
43,631,2023-12-23,Mail,Promotional Offer
44,3619,2024-07-18,Phone,Reactivation Campaign
45,882,2024-05-13,Mail,Welcome Campaign
46,5737,2025-06-30,Phone,Promotional Offer
47,5258,2024-05-16,Mail,Promotional Offer
48,1095,2025-02-02,Email,Quarterly Newsletter
49,6038,2024-06-26,Phone,Reactivation Campaign
50,8588,2024-07-14,Email,Quarterly Newsletter
51,1062,2024-01-02,Email,Quarterly Newsletter
52,3254,2025-05-11,Mail,Promotional Offer
53,5671,2024-08-02,Phone,Welcome Campaign
54,3082,2025-01-10,Email,Welcome Campaign
55,6540,2023-09-15,Mail,Promotional Offer
56,5070,2025-04-04,Email,Welcome Campaign
57,3951,2024-12-14,Mail,Reactivation Campaign
58,9661,2023-10-07,Phone,Reactivation Campaign
59,1743,2025-06-10,Mail,Reactivation Campaign
60,7840,2024-03-06,Email,Quarterly Newsletter
61,3841,2024-02-10,Email,Welcome Campaign
62,1004,2023-09-13,Email,Reactivation Campaign
63,8009,2024-02-03,Mail,Quarterly Newsletter
64,2930,2024-10-28,Mail,Welcome Campaign
65,7039,2025-06-19,Email,Promotional Offer
66,3303,2024-02-21,Phone,Reactivation Campaign
67,8340,2024-03-13,Email,Welcome Campaign
68,5307,2025-01-08,Mail,Promotional Offer
69,7055,2023-10-03,Phone,Welcome Campaign
70,9525,2024-08-06,Mail,Promotional Offer
71,2736,2024-02-22,Phone,Promotional Offer
72,1684,2025-01-30,Email,Promotional Offer
73,9023,2024-10-09,Phone,Welcome Campaign
74,9512,2025-05-14,Mail,Quarterly Newsletter
75,3399,2025-06-23,Mail,Quarterly Newsletter
76,1156,2024-03-06,Mail,Reactivation Campaign
77,5290,2024-05-18,Email,Welcome Campaign
78,3012,2024-12-17,Email,Welcome Campaign
79,7360,2024-12-02,Mail,Reactivation Campaign
80,1688,2023-09-23,Phone,Promotional Offer
81,7426,2024-04-09,Mail,Reactivation Campaign
82,7958,2023-11-21,Email,Promotional Offer
83,4447,2024-12-20,Mail,Welcome Campaign
84,7377,2025-05-29,Email,Reactivation Campaign
85,2917,2024-04-04,Mail,Quarterly Newsletter
86,6920,2024-12-17,Mail,Promotional Offer
87,5378,2025-06-09,Phone,Welcome Campaign
88,2307,2023-12-17,Mail,Quarterly Newsletter
89,3437,2025-06-22,Phone,Welcome Campaign
90,8932,2023-12-02,Email,Quarterly Newsletter
91,5983,2023-10-23,Email,Quarterly Newsletter
92,1929,2024-09-17,Mail,Promotional Offer
93,364,2023-12-27,Phone,Quarterly Newsletter
94,696,2025-04-22,Email,Welcome Campaign
95,8750,2025-02-23,Phone,Promotional Offer
96,7036,2025-05-12,Phone,Quarterly Newsletter
97,5826,2024-06-05,Phone,Welcome Campaign
98,8893,2023-09-22,Phone,Reactivation Campaign
99,9441,2024-12-16,Email,Reactivation Campaign
100,8955,2024-07-22,Phone,Promotional Offer
101,6085,2023-10-04,Phone,Quarterly Newsletter
102,2644,2024-11-28,Email,Reactivation Campaign
103,9584,2025-07-21,Phone,Reactivation Campaign
104,7313,2024-09-17,Mail,Reactivation Campaign
105,2953,2024-10-22,Phone,Reactivation Campaign
106,7673,2024-03-22,Phone,Welcome Campaign
107,4513,2024-01-23,Email,Welcome Campaign
108,5907,2023-10-26,Email,Welcome Campaign
109,306,2025-03-12,Mail,Quarterly Newsletter
110,6684,2023-11-17,Mail,Quarterly Newsletter
111,7019,2024-06-17,Mail,Welcome Campaign
112,2593,2025-03-20,Email,Welcome Campaign
113,399,2024-06-30,Phone,Reactivation Campaign
114,7570,2024-05-17,Phone,Quarterly Newsletter
115,9993,2023-12-06,Phone,Reactivation Campaign
116,4353,2023-10-10,Mail,Reactivation Campaign
117,5248,2025-06-06,Email,Quarterly Newsletter
118,9650,2024-05-02,Mail,Promotional Offer
119,9657,2024-12-30,Mail,Quarterly Newsletter
120,9356,2024-03-13,Mail,Reactivation Campaign
121,9523,2025-02-11,Phone,Reactivation Campaign
122,3516,2024-11-02,Email,Quarterly Newsletter
123,4846,2025-04-25,Email,Promotional Offer
124,7012,2024-07-24,Phone,Promotional Offer
125,9439,2025-03-08,Mail,Reactivation Campaign
126,9575,2025-01-31,Phone,Reactivation Campaign
127,9426,2025-02-22,Phone,Welcome Campaign
128,5245,2024-04-06,Phone,Reactivation Campaign
129,7231,2024-08-20,Mail,Reactivation Campaign
130,3041,2025-03-21,Mail,Promotional Offer
131,5527,2023-12-02,Phone,Welcome Campaign
132,4291,2024-06-08,Phone,Quarterly Newsletter
133,9403,2023-08-16,Mail,Reactivation Campaign
134,7645,2024-03-02,Mail,Reactivation Campaign
135,5441,2025-06-09,Phone,Reactivation Campaign
136,5265,2024-07-26,Mail,Promotional Offer
137,6224,2025-03-03,Email,Welcome Campaign
138,387,2023-12-11,Phone,Reactivation Campaign
139,432,2024-03-28,Email,Quarterly Newsletter
