RequestID,ClientID,RequestDate,RequestType,Status
1,116,2025-05-20,Issue Resolution,Pending
2,5759,2025-01-29,Account Opening,Pending
3,6680,2023-10-31,Portfolio Review,Closed
4,8558,2024-07-19,Account Opening,Pending
5,4376,2024-11-26,Account Opening,Closed
6,2526,2024-06-01,Account Opening,Closed
7,8386,2024-01-11,Account Opening,Open
8,8766,2024-02-16,Account Opening,Closed
9,8027,2025-04-02,Issue Resolution,Pending
10,8019,2023-12-18,Issue Resolution,Closed
11,5112,2025-01-23,Portfolio Review,Open
12,1265,2024-01-15,Portfolio Review,Closed
13,5234,2023-11-26,Account Opening,Closed
14,4419,2024-12-09,Portfolio Review,Closed
15,4660,2024-09-16,Portfolio Review,Pending
16,3478,2024-12-29,Portfolio Review,Pending
17,4355,2023-12-18,Portfolio Review,Pending
18,8472,2024-04-20,Portfolio Review,Closed
19,7883,2024-09-26,Account Opening,Open
20,7461,2024-05-29,Portfolio Review,Closed
21,1384,2024-09-06,Account Opening,Closed
22,3593,2023-09-27,Issue Resolution,Pending
23,5884,2024-04-22,Portfolio Review,Pending
24,314,2025-03-05,Portfolio Review,Closed
25,2465,2025-05-30,Issue Resolution,Closed
26,7326,2023-09-17,Account Opening,Open
27,1126,2025-04-26,Account Opening,Closed
28,8661,2024-12-28,Portfolio Review,Open
29,9693,2024-05-09,Account Opening,Open
30,4912,2025-01-16,Issue Resolution,Open
31,8756,2024-08-23,Account Opening,Closed
32,4623,2023-11-02,Account Opening,Pending
33,2745,2025-07-04,Portfolio Review,Open
34,757,2024-12-26,Issue Resolution,Pending
35,3532,2025-05-23,Issue Resolution,Open
36,5745,2024-05-30,Issue Resolution,Open
37,325,2024-01-26,Account Opening,Closed
38,5210,2025-06-05,Issue Resolution,Pending
39,7110,2024-04-29,Issue Resolution,Open
40,1983,2024-08-31,Account Opening,Pending
41,9718,2025-06-09,Portfolio Review,Closed
42,5797,2025-03-29,Portfolio Review,Open
43,3493,2024-10-30,Account Opening,Open
44,5211,2025-06-18,Account Opening,Closed
45,3179,2023-10-03,Issue Resolution,Open
46,1646,2025-07-28,Portfolio Review,Closed
47,9929,2025-03-10,Portfolio Review,Closed
48,2400,2023-11-05,Issue Resolution,Pending
49,4608,2023-08-16,Account Opening,Closed
50,2318,2025-04-10,Issue Resolution,Pending
51,6401,2024-04-10,Account Opening,Closed
52,7895,2024-10-25,Issue Resolution,Pending
53,1292,2025-04-07,Issue Resolution,Closed
54,8853,2024-01-15,Portfolio Review,Open
55,8941,2023-09-11,Portfolio Review,Pending
56,7117,2024-08-18,Portfolio Review,Closed
57,9332,2024-01-01,Account Opening,Closed
58,5208,2023-08-24,Account Opening,Pending
59,3519,2025-06-15,Portfolio Review,Open
60,8458,2024-08-05,Portfolio Review,Closed
61,4391,2024-03-06,Account Opening,Open
62,775,2023-11-16,Issue Resolution,Open
63,6697,2025-01-23,Portfolio Review,Closed
64,1985,2024-01-02,Issue Resolution,Closed
65,1499,2023-09-22,Issue Resolution,Closed
66,2227,2023-12-02,Portfolio Review,Closed
67,4774,2025-03-03,Issue Resolution,Open
68,3872,2025-01-17,Issue Resolution,Pending
69,1098,2024-05-08,Portfolio Review,Closed
70,8510,2024-08-21,Account Opening,Open
71,8058,2023-12-10,Issue Resolution,Pending
72,7579,2025-02-24,Issue Resolution,Open
73,190,2024-11-05,Account Opening,Open
74,7706,2023-08-12,Portfolio Review,Pending
75,2397,2024-06-18,Account Opening,Pending
76,2640,2024-11-11,Portfolio Review,Closed
77,4095,2023-09-23,Account Opening,Closed
78,9030,2025-02-20,Issue Resolution,Closed
79,9147,2024-11-21,Issue Resolution,Closed
80,8969,2024-05-09,Issue Resolution,Open
81,7271,2024-04-22,Account Opening,Closed
82,7913,2023-09-28,Portfolio Review,Pending
83,9283,2024-07-05,Issue Resolution,Open
84,8258,2023-08-12,Portfolio Review,Pending
85,4124,2024-01-15,Portfolio Review,Pending
86,1973,2025-03-15,Account Opening,Open
87,9413,2024-05-20,Account Opening,Pending
88,9508,2025-03-03,Portfolio Review,Open
89,7574,2024-12-29,Account Opening,Closed
90,3475,2023-09-05,Issue Resolution,Open
91,5761,2024-04-15,Issue Resolution,Closed
92,384,2025-06-24,Account Opening,Open
93,3055,2024-09-16,Account Opening,Closed
94,226,2024-03-20,Portfolio Review,Pending
95,697,2025-06-06,Account Opening,Closed
96,6509,2024-06-04,Issue Resolution,Open
97,8305,2025-04-16,Issue Resolution,Open
98,7773,2024-04-23,Issue Resolution,Open
99,9259,2025-04-12,Issue Resolution,Pending
100,3273,2024-01-01,Account Opening,Closed
101,2651,2024-09-06,Portfolio Review,Pending
102,1589,2024-08-03,Account Opening,Closed
103,8345,2024-07-21,Portfolio Review,Closed
104,831,2024-03-20,Account Opening,Pending
105,2914,2025-04-07,Portfolio Review,Open
106,5280,2025-05-22,Issue Resolution,Pending
107,1883,2024-02-26,Issue Resolution,Open
108,6505,2023-08-15,Account Opening,Pending
109,3310,2023-10-16,Portfolio Review,Open
110,492,2025-01-29,Portfolio Review,Open
111,8760,2023-10-08,Account Opening,Open
112,254,2024-03-31,Portfolio Review,Closed
113,91,2024-12-19,Account Opening,Closed
