TransactionID,AccountID,TransactionDate,TransactionType,Amount
1,8913,2020-09-16,Withdrawal,7105.3
2,18428,2023-10-31,Deposit,42018.92
3,2962,2021-11-30,Trade,44560.45
4,5066,2022-09-03,Withdrawal,18181.87
5,5187,2022-02-26,Withdrawal,19770.33
6,19466,2021-11-05,Deposit,24222.85
7,17587,2020-12-02,Deposit,42096.14
8,5152,2020-10-10,Trade,22934.28
9,6070,2023-07-24,Deposit,11964.68
10,728,2025-06-28,Trade,19708.22
11,633,2022-02-23,Deposit,49362.85
12,19207,2020-11-10,Withdrawal,11450.3
13,13449,2022-01-10,Withdrawal,42253.46
14,3840,2024-07-31,Trade,9040.06
15,1954,2022-08-11,Withdrawal,48977.14
16,325,2021-12-18,Trade,33910.52
17,10227,2024-12-11,Deposit,44380.3
18,13688,2021-03-08,Deposit,33245.33
19,15996,2024-02-13,Deposit,10032.05
20,16384,2021-12-25,Withdrawal,24022.04
21,7097,2022-02-09,Trade,18941.14
22,723,2025-02-05,Withdrawal,23290.12
23,1004,2022-07-21,Withdrawal,41208.94
24,4963,2024-01-29,Deposit,33018.32
25,13887,2022-01-12,Withdrawal,36053.75
26,16175,2023-03-10,Trade,26562.25
27,6179,2024-06-27,Withdrawal,34941.89
28,8785,2023-11-27,Deposit,695.02
29,2489,2024-08-21,Deposit,6481.24
30,19806,2022-09-26,Withdrawal,5902.07
31,7996,2022-03-04,Trade,16173.55
32,6496,2021-11-08,Deposit,25226.2
33,420,2021-09-26,Trade,47859.13
34,11361,2022-06-16,Deposit,31049.02
35,5313,2023-04-01,Deposit,3273.25
36,13326,2025-04-05,Deposit,36170.61
37,7275,2023-01-25,Deposit,43123.6
38,9003,2023-05-01,Deposit,35324.16
39,17058,2024-05-04,Withdrawal,31741.7
40,16318,2025-02-15,Withdrawal,28714.16
41,17393,2021-06-13,Deposit,13256.85
42,2621,2020-07-30,Withdrawal,7011.55
43,7945,2023-05-14,Deposit,16024.81
44,4353,2024-09-03,Trade,24989.35
45,10101,2024-03-09,Deposit,7019.31
46,3681,2020-08-28,Deposit,10544.78
47,4976,2023-04-05,Withdrawal,21154.78
48,671,2021-10-21,Deposit,29318.07
49,5908,2022-11-02,Deposit,28139.46
50,13460,2020-11-21,Withdrawal,25030.49
51,1240,2024-08-05,Withdrawal,12906.85
52,6991,2022-04-30,Trade,25602.07
53,10869,2024-02-23,Trade,3162.47
54,19067,2021-05-30,Trade,21219.52
55,7735,2022-01-14,Deposit,25846.56
56,990,2025-03-19,Withdrawal,25429.54
57,8020,2025-04-15,Deposit,30697.34
58,12802,2025-03-31,Trade,1456.87
59,9706,2024-10-13,Withdrawal,10014.02
60,10356,2024-03-04,Deposit,24902.11
61,7623,2020-12-16,Trade,5474.01
62,17576,2025-04-17,Withdrawal,44419.16
63,7731,2023-05-28,Withdrawal,22976.01
64,7863,2023-12-13,Deposit,17573.88
65,8448,2021-02-27,Trade,2235.75
66,10326,2021-10-12,Trade,45198.79
67,7996,2022-04-20,Deposit,45503.49
68,8711,2020-11-29,Trade,31366.99
69,8119,2021-05-22,Deposit,42569.96
70,10729,2024-05-17,Deposit,19667.59
71,17243,2024-08-04,Withdrawal,43197.37
72,7971,2021-09-14,Deposit,36569.35
73,658,2020-10-09,Deposit,16203.55
74,8709,2022-10-23,Withdrawal,37392.84
75,5769,2024-04-03,Withdrawal,48752.51
76,157,2023-08-20,Withdrawal,18889.5
77,10134,2023-06-26,Trade,18253.67
78,13326,2022-02-23,Withdrawal,39598.28
79,12349,2020-09-03,Trade,29881.68
80,13051,2023-09-23,Trade,47338.89
81,11689,2021-03-02,Trade,15807.41
82,4832,2022-03-17,Withdrawal,38333.68
83,1730,2022-08-11,Trade,4774.65
84,17284,2025-05-22,Trade,10196.82
85,1835,2022-08-01,Withdrawal,49389.4
86,7418,2024-02-06,Trade,24845.05
87,10502,2023-10-23,Withdrawal,15397.57
88,13420,2024-06-14,Trade,16846.65
89,10955,2023-06-28,Withdrawal,31253.97
90,9120,2020-11-27,Deposit,46083.37
91,17633,2021-02-06,Withdrawal,3808.58
92,10026,2021-06-12,Withdrawal,1082.55
93,9991,2021-07-11,Deposit,11245.56
94,18187,2022-11-11,Deposit,7779.57
95,11632,2023-06-05,Trade,3223.88
96,1105,2022-10-27,Deposit,31799.43
97,3575,2022-05-13,Trade,6077.42
98,815,2024-08-12,Withdrawal,1746.58
99,9920,2021-02-13,Trade,15405.8
100,5593,2020-08-13,Trade,27143.08
101,13752,2024-12-30,Withdrawal,47671.76
102,16517,2025-03-14,Trade,35960.54
103,1146,2021-12-09,Trade,37384.6
104,3573,2024-06-26,Deposit,31648.95
105,13007,2022-05-20,Trade,11331.37
106,10864,2024-04-15,Withdrawal,5061.72
107,16082,2022-02-07,Deposit,19947.96
108,9559,2021-09-21,Trade,13644.57
109,10435,2022-03-30,Withdrawal,18603.85
110,18079,2024-06-17,Deposit,14524.94
111,13687,2022-11-14,Trade,6813.17
112,10364,2024-01-14,Trade,42836.49
113,11700,2020-12-08,Trade,24946.51
114,4884,2025-04-19,Deposit,18532.91
115,3968,2023-06-30,Trade,4300.2
116,711,2022-05-10,Deposit,49871.5
117,14021,2023-07-31,Trade,15094.68
118,19166,2022-06-04,Withdrawal,23791.48
119,16193,2025-03-21,Withdrawal,37056.77
120,19140,2025-06-05,Deposit,2391.43
121,18974,2021-11-17,Withdrawal,20094.49
122,14403,2021-03-24,Withdrawal,17077.44
123,11839,2022-02-15,Trade,38930.26
124,9738,2023-09-22,Trade,11618.98
125,19545,2023-12-28,Deposit,42577.02
126,12520,2022-02-21,Withdrawal,43990.44
127,3002,2025-06-21,Withdrawal,8221.19
128,11740,2024-07-24,Deposit,16771.0
129,4431,2022-12-10,Trade,41055.4
130,18311,2020-10-27,Withdrawal,8352.7
131,18823,2023-05-26,Trade,4080.07
132,15609,2023-02-12,Trade,29246.64
133,15301,2023-08-10,Withdrawal,30320.28
134,8184,2024-08-14,Trade,22707.96
135,4297,2021-02-27,Withdrawal,17724.46
136,3237,2023-05-14,Deposit,3898.48
137,10719,2022-04-27,Trade,37043.89
138,4676,2021-08-10,Deposit,23594.73
139,6735,2025-07-26,Trade,28593.87
140,8255,2022-09-11,Withdrawal,33309.37
141,18150,2024-02-03,Withdrawal,14979.58
142,1698,2022-01-17,Withdrawal,29272.18
143,11326,2024-03-26,Deposit,30762.52
144,8965,2021-04-21,Deposit,5170.87
145,7154,2023-06-01,Withdrawal,14995.63
146,13322,2025-04-02,Trade,9061.07
147,17800,2025-03-03,Withdrawal,2459.6
148,18789,2023-05-05,Withdrawal,22818.81
149,5103,2025-03-12,Trade,43256.86
150,13018,2024-09-24,Withdrawal,23034.38
151,177,2022-03-04,Trade,17032.12
152,529,2020-12-20,Deposit,23793.66
153,407,2022-07-21,Deposit,44912.8
154,13414,2025-07-13,Deposit,16152.16
155,16033,2023-01-15,Trade,2178.68
156,15743,2024-06-06,Trade,42815.3
157,2065,2023-04-29,Deposit,11616.02
158,5780,2024-11-25,Trade,23449.81
159,7775,2022-10-05,Withdrawal,24454.42
160,16995,2022-02-24,Withdrawal,21698.02
161,4966,2024-07-10,Trade,20669.47
162,6948,2024-07-07,Trade,42747.41
163,19372,2022-09-17,Deposit,30998.21
164,9304,2025-06-13,Withdrawal,4090.27
165,14369,2020-07-31,Withdrawal,43950.84
166,3154,2022-03-04,Withdrawal,26312.7
167,15990,2021-05-18,Withdrawal,34445.42
168,17220,2020-11-09,Trade,30979.51
169,3900,2024-02-24,Trade,46485.15
170,11018,2023-10-02,Deposit,32866.48
171,14165,2022-02-27,Deposit,878.1
172,386,2025-04-16,Withdrawal,14215.92
173,6674,2021-09-11,Withdrawal,36823.51
174,7474,2024-04-03,Withdrawal,36010.96
175,3475,2022-01-05,Deposit,2371.51
176,15440,2022-01-03,Deposit,39517.71
177,14632,2024-11-16,Trade,21588.49
178,8073,2025-07-04,Trade,34299.36
179,12004,2020-10-13,Deposit,982.01
180,15011,2020-11-13,Trade,9473.08
181,2873,2021-10-30,Withdrawal,7758.36
182,9053,2023-07-30,Trade,7700.59
183,2785,2022-01-13,Deposit,26875.46
184,8053,2021-02-01,Deposit,47848.54
185,19959,2025-06-25,Withdrawal,12058.41
186,17225,2022-04-23,Deposit,5997.11
187,17978,2024-07-22,Deposit,27013.07
188,16106,2024-08-24,Trade,17596.1
189,6190,2024-01-03,Withdrawal,48647.16
190,3501,2025-05-01,Deposit,36257.63
191,584,2022-07-17,Deposit,46424.42
192,13881,2023-02-15,Trade,43687.72
193,14398,2024-08-02,Withdrawal,17131.89
194,16809,2025-07-20,Withdrawal,3690.1
195,17109,2024-09-21,Trade,31766.4
196,8442,2021-08-24,Deposit,37826.91
197,12552,2025-06-28,Deposit,43192.45
198,9648,2022-03-17,Trade,26741.13
199,16452,2023-05-02,Deposit,44375.43
200,1013,2020-11-03,Deposit,37526.28
201,4693,2022-08-22,Withdrawal,48784.67
202,14074,2022-02-10,Withdrawal,39762.27
203,4893,2025-05-29,Deposit,1097.98
204,6208,2021-10-04,Trade,14362.12
205,17164,2025-01-26,Deposit,11689.75
206,5704,2020-10-28,Withdrawal,5129.1
207,15272,2022-04-13,Deposit,19582.4
208,2057,2021-01-26,Trade,16961.41
209,9755,2024-02-06,Withdrawal,22863.11
210,6214,2025-04-25,Trade,763.38
211,9462,2025-03-27,Withdrawal,5323.4
212,12029,2022-01-30,Trade,1872.09
213,2295,2021-07-18,Deposit,10378.94
214,6546,2022-08-04,Trade,33499.65
215,2188,2022-10-25,Withdrawal,21812.27
216,11825,2023-04-20,Withdrawal,49893.08
217,13098,2021-02-02,Withdrawal,26797.31
218,17590,2022-05-03,Trade,36257.91
219,18165,2024-02-17,Withdrawal,44339.19
220,15012,2021-04-25,Withdrawal,8918.05
221,13948,2024-08-25,Trade,41293.61
222,9299,2021-11-30,Trade,43862.0
